group,row,Z,valenceelectrons,diffto18electrons,sunfilled,punfilled,dunfilled,wt CN_1,sgl_bd CN_1,wt CN_2,L-shaped CN_2,water-like CN_2,bent 120 degrees CN_2,bent 150 degrees CN_2,linear CN_2,wt CN_3,trigonal planar CN_3,trigonal non-coplanar CN_3,T-shaped CN_3,wt CN_4,square co-planar CN_4,tetrahedral CN_4,rectangular see-saw-like CN_4,see-saw-like CN_4,trigonal pyramidal CN_4,wt CN_5,pentagonal planar CN_5,square pyramidal CN_5,trigonal bipyramidal CN_5,wt CN_6,hexagonal planar CN_6,octahedral CN_6,pentagonal pyramidal CN_6,wt CN_7,hexagonal pyramidal CN_7,pentagonal bipyramidal CN_7,wt CN_8,body-centered cubic CN_8,hexagonal bipyramidal CN_8,wt CN_9,q2 CN_9,q4 CN_9,q6 CN_9,wt CN_10,q2 CN_10,q4 CN_10,q6 CN_10,wt CN_11,q2 CN_11,q4 CN_11,q6 CN_11,wt CN_12,cuboctahedral CN_12,q2 CN_12,q4 CN_12,q6 CN_12,wt CN_13,wt CN_14,wt CN_15,wt CN_16,wt CN_17,wt CN_18,wt CN_19,wt CN_20,wt CN_21,wt CN_22,wt CN_23,wt CN_24,local difference in MendeleevNumber,maximum local difference in MendeleevNumber,mimum local difference in MendeleevNumber,local signed difference in MendeleevNumber,local difference in Column,maximum local difference in Column,mimum local difference in Column,local signed difference in Column,local difference in Row,maximum local difference in Row,mimum local difference in Row,local signed difference in Row,local difference in Electronegativity,maximum local difference in Electronegativity,mimum local difference in Electronegativity,local signed difference in Electronegativity,local difference in NsValence,maximum local difference in NsValence,mimum local difference in NsValence,local signed difference in NsValence,local difference in NpValence,maximum local difference in NpValence,mimum local difference in NpValence,local signed difference in NpValence,local difference in NdValence,maximum local difference in NdValence,mimum local difference in NdValence,local signed difference in NdValence,local difference in NfValence,maximum local difference in NfValence,mimum local difference in NfValence,local signed difference in NfValence,local difference in NValence,maximum local difference in NValence,mimum local difference in NValence,local signed difference in NValence,local difference in NsUnfilled,maximum local difference in NsUnfilled,mimum local difference in NsUnfilled,local signed difference in NsUnfilled,local difference in NpUnfilled,maximum local difference in NpUnfilled,mimum local difference in NpUnfilled,local signed difference in NpUnfilled,local difference in NdUnfilled,maximum local difference in NdUnfilled,mimum local difference in NdUnfilled,local signed difference in NdUnfilled,local difference in NfUnfilled,maximum local difference in NfUnfilled,mimum local difference in NfUnfilled,local signed difference in NfUnfilled,local difference in NUnfilled,maximum local difference in NUnfilled,mimum local difference in NUnfilled,local signed difference in NUnfilled,local difference in GSbandgap,maximum local difference in GSbandgap,mimum local difference in GSbandgap,local signed difference in GSbandgap,G2_0.05,G2_4.0,G2_20.0,G2_80.0,G4_0.005_1.0_-1.0,G4_0.005_1.0_1.0,G4_0.005_4.0_-1.0,G4_0.005_4.0_1.0
3.0,6.0,70.0,2.0,16.0,-4.0,2.0,8.0,0.7533008730722631,0.7533008730722631,0.18942269061820505,6.567311230194389e-14,6.80901283400752e-09,1.1004057110069122e-05,0.022002772677369963,0.18942269061820505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031813343169428646,0.012710800543262884,0.008667743684693814,0.007679723112130236,0.0,0.0,0.0,0.025463093140103223,0.001223372237378492,0.01479058017431768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.48788722767113,50.0,0.0,45.48788722767113,11.826850679194493,13.0,0.0,11.826850679194493,1.8195154891068452,2.0,0.0,-1.8195154891068452,1.173587490473915,1.2899999999999998,0.0,1.173587490473915,1.8195154891068452,2.0,0.0,-1.8195154891068452,0.9097577445534226,1.0,0.0,-0.9097577445534226,0.9097577445534226,1.0,0.0,-0.9097577445534226,0.9097577445534226,1.0,0.0,-0.9097577445534226,0.0,0.0,0.0,0.0,1.8195154891068452,2.0,0.0,1.8195154891068452,0.9097577445534226,1.0,0.0,0.9097577445534226,0.9097577445534226,1.0,0.0,0.9097577445534226,0.9097577445534226,1.0,0.0,0.9097577445534226,4.548788722767112,5.0,0.0,4.548788722767112,0.7268964378981847,0.799,0.0,0.7268964378981847,7.894631702955282,2.31227949606576,0.7701948865970535,0.376781890694849,3.042294009540241,7.606015824220316,0.6996797842294948,4.304134126860286
12.0,4.0,30.0,2.0,16.0,-2.0,4.0,9.0,0.6813407014963702,0.6813407014963702,0.0,0.0,0.0,0.0,0.0,0.0,0.09949258909624549,0.03971729008973392,0.09790560365030312,0.019437337405433595,0.18861189413116183,0.019268880357896187,0.18797756844030847,0.0024388857968964377,0.05022729642703137,0.0523359431600673,0.003818750212042817,0.000660882900900554,0.0005074996106187902,0.0006723932589900618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022916352159559866,0.006510464025616026,0.010089415125928614,0.009978735719253399,0.0,0.0,0.0,0.0,0.0038197129046198017,0.0003192849568463719,0.001895219578729328,0.001382315440020997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8364584316177694,8.0,0.0,-6.8364584316177694,1.7091146079044424,2.0,0.0,-1.7091146079044424,0.0,0.0,0.0,0.0,0.22218489902757751,0.26,0.0,0.22218489902757751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7091146079044424,2.0,0.0,-1.7091146079044424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.568165471432525,5.944159535547999,0.886216424840658,0.23129823849440853,19.422703032618514,50.581982116020036,3.4529072620521934,28.32933482110588
10.0,4.0,28.0,2.0,16.0,-2.0,4.0,9.0,0.6813407014963702,0.6813407014963702,0.0,0.0,0.0,0.0,0.0,0.0,0.09949258909624549,0.03971729008973392,0.09790560365030312,0.019437337405433595,0.18861189413116183,0.019268880357896187,0.18797756844030847,0.0024388857968964377,0.05022729642703137,0.0523359431600673,0.003818750212042817,0.000660882900900554,0.0005074996106187902,0.0006723932589900618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02164312046649343,0.006148742880982402,0.009528847588242332,0.009424317525379231,0.0,0.0,0.0,0.0,0.0050929445976862445,0.0004257127791270665,0.0025269564901709484,0.0018430851030815784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.836458431617771,8.0,0.0,6.836458431617771,1.7091146079044428,2.0,0.0,1.7091146079044428,0.0,0.0,0.0,0.0,0.22218489902757757,0.26,0.0,-0.22218489902757757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7091146079044428,2.0,0.0,1.7091146079044428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.568165471432525,5.944159535547999,0.8862164248406578,0.23129823849440856,19.42270303261849,50.58198211602004,3.4529072620521934,28.329334821105903
4.0,4.0,22.0,2.0,16.0,-2.0,4.0,9.0,0.6714969458716082,0.6714969458716082,0.0,0.0,0.0,0.0,0.0,0.0,0.23690907429771838,0.09122471591582626,0.2359189119859761,0.04121489324813044,0.03304562267454165,0.00346743747736648,0.0326512218043364,0.0004557892453495733,0.008583683178840057,0.00895145219382565,0.03053934691181042,0.005463553942804098,0.004331629958083135,0.005182999319913634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02800901024432129,0.007858463802593372,0.012730973568885319,0.011909836822089933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.388247012666522,22.0,0.0,18.388247012666522,5.8508058676666215,7.0,0.0,5.8508058676666215,0.8358294096666602,1.0,0.0,0.8358294096666602,0.32597346976999736,0.3899999999999999,0.0,0.32597346976999736,0.8358294096666602,1.0,0.0,0.8358294096666602,0.8358294096666602,1.0,0.0,0.8358294096666602,0.8358294096666602,1.0,0.0,0.8358294096666602,0.0,0.0,0.0,0.0,5.8508058676666215,7.0,0.0,5.8508058676666215,0.8358294096666602,1.0,0.0,-0.8358294096666602,0.8358294096666602,1.0,0.0,-0.8358294096666602,0.8358294096666602,1.0,0.0,-0.8358294096666602,0.0,0.0,0.0,0.0,2.5074882289999803,3.0,0.0,-2.5074882289999803,0.0,0.0,0.0,0.0,11.883552848618221,4.115521518833153,0.8055901723826512,0.23126793186202274,8.51940061806006,21.577334924484006,1.7821429112751672,12.603147860834742
11.0,5.0,47.0,1.0,17.0,-3.0,3.0,8.0,0.6714969458716082,0.6714969458716082,0.0,0.0,0.0,0.0,0.0,0.0,0.23690907429771838,0.09122471591582626,0.2359189119859761,0.04121489324813044,0.03304562267454165,0.00346743747736648,0.0326512218043364,0.0004557892453495733,0.008583683178840057,0.00895145219382565,0.03053934691181042,0.005463553942804098,0.004331629958083135,0.005182999319913634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02800901024432129,0.007858463802593373,0.012730973568885315,0.011909836822089934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.38824701266652,22.0,0.0,-18.38824701266652,5.85080586766662,7.0,0.0,-5.85080586766662,0.83582940966666,1.0,0.0,-0.83582940966666,0.3259734697699973,0.3899999999999999,0.0,-0.3259734697699973,0.83582940966666,1.0,0.0,-0.83582940966666,0.83582940966666,1.0,0.0,-0.83582940966666,0.83582940966666,1.0,0.0,-0.83582940966666,0.0,0.0,0.0,0.0,5.85080586766662,7.0,0.0,-5.85080586766662,0.83582940966666,1.0,0.0,0.83582940966666,0.83582940966666,1.0,0.0,0.83582940966666,0.83582940966666,1.0,0.0,0.83582940966666,0.0,0.0,0.0,0.0,2.50748822899998,3.0,0.0,2.50748822899998,0.0,0.0,0.0,0.0,11.883552848618223,4.115521518833152,0.8055901723826512,0.2312679318620229,8.519400618060065,21.57733492448401,1.7821429112751668,12.603147860834746
12.0,4.0,30.0,2.0,16.0,-2.0,4.0,9.0,0.7134763694227311,0.7134763694227311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26615266709308244,0.024301640268168695,0.2654299469448641,0.0025453827712980078,0.0692492822912433,0.07224875278096556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019097724151657933,6.658955639225988e-05,0.011056193190141683,0.007439063729060094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00127323933252854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.888251612960291,8.0,0.0,-6.888251612960291,1.7220629032400727,2.0,0.0,-1.7220629032400727,0.0,0.0,0.0,0.0,0.22386817742120949,0.26,0.0,0.22386817742120949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7220629032400727,2.0,0.0,-1.7220629032400727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.467944858346097,5.918041433587246,0.8604887424750356,0.23127029331332266,19.311347272230982,50.462851745122116,3.307529401186758,28.068510790338113
10.0,4.0,28.0,2.0,16.0,-2.0,4.0,9.0,0.7134763694227311,0.7134763694227311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26615266709308244,0.024301640268168695,0.2654299469448641,0.0025453827712980078,0.0692492822912433,0.07224875278096556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019097724151657933,6.658955639225961e-05,0.011056193190141683,0.007439063729060094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00127323933252854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.888251612960292,8.0,0.0,6.888251612960292,1.722062903240073,2.0,0.0,1.722062903240073,0.0,0.0,0.0,0.0,0.2238681774212095,0.26,0.0,-0.2238681774212095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.722062903240073,2.0,0.0,1.722062903240073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.467944858346094,5.918041433587246,0.8604887424750356,0.23127029331332263,19.311347272230975,50.46285174512212,3.3075294011867573,28.06851079033813
3.0,6.0,70.0,2.0,16.0,-4.0,2.0,8.0,0.7695561374898067,0.7695561374898067,0.21643850997020556,7.503953473234327e-14,7.780127013035663e-09,1.2573476370531009e-05,0.02514084937744736,0.21643850997020556,0.0,0.0,0.0,0.0,0.006365961108447969,0.006365961108447969,0.00042972910103036247,0.006365961108447969,0.0042439740722986456,0.0031829805542239846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007639391431539846,-0.0004902377732603787,0.004344234579658146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.41748828741851,51.0,0.0,46.41748828741851,11.831908779145891,13.0,0.0,11.831908779145891,0.9101468291650685,1.0,0.0,-0.9101468291650685,0.7645233364986578,0.8400000000000001,0.0,0.7645233364986578,0.9101468291650685,1.0,0.0,-0.9101468291650685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9101468291650685,1.0,0.0,-0.9101468291650685,0.0,0.0,0.0,0.0,0.9101468291650685,1.0,0.0,0.9101468291650685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9101468291650685,1.0,0.0,0.9101468291650685,1.820293658330137,2.0,0.0,1.820293658330137,0.4223081287325918,0.464,0.0,0.4223081287325918,6.116481202017265,1.7560127363290665,0.7673520511240183,0.3767818906343721,1.5767805291592965,3.8383609145380335,0.40891564371061634,2.2467891997675724
7.0,5.0,43.0,2.0,16.0,-3.0,3.0,8.0,0.7023285445988289,0.7023285445988289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27348135965503606,0.030268446957639826,0.2687881691054582,0.004092434653201422,0.08286535338303609,0.08604079031590865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01655070431459518,0.00014203170665990286,0.009441584721209362,0.0063877432016571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007639391431539846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.29684979641268,19.0,0.0,16.29684979641268,5.146373619919793,6.0,0.0,5.146373619919793,2.5731868099598967,3.0,0.0,-2.5731868099598967,0.12008205113146196,0.14000000000000012,0.0,0.12008205113146196,2.5731868099598967,3.0,0.0,-2.5731868099598967,1.7154578733065975,2.0,0.0,-1.7154578733065975,1.7154578733065975,2.0,0.0,-1.7154578733065975,0.0,0.0,0.0,0.0,3.430915746613195,4.0,0.0,-3.430915746613195,2.5731868099598967,3.0,0.0,2.5731868099598967,1.7154578733065975,2.0,0.0,1.7154578733065975,1.7154578733065975,2.0,0.0,1.7154578733065975,0.0,0.0,0.0,0.0,6.004102556573092,7.0,0.0,6.004102556573092,1.3071788994596274,1.524,0.0,1.3071788994596274,20.706102997253335,7.173794783155866,0.9682930082644721,0.23132445990954192,28.005778427142744,73.42088788832464,4.873753928303951,40.84180246341155
7.0,4.0,25.0,2.0,16.0,-2.0,4.0,9.0,0.7308648427795711,0.7308648427795711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25640297398285133,0.023549497063990583,0.2545086629917787,0.002837175867676063,0.06431561065413668,0.06715030221183868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012732183237577625,7.635924129386278e-05,0.0075457416256854174,0.00502777449291153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.135779954962178,14.0,0.0,12.135779954962178,3.4673657014177652,4.0,0.0,3.4673657014177652,1.7336828507088826,2.0,0.0,1.7336828507088826,0.8581730111008969,0.99,0.0,0.8581730111008969,1.7336828507088826,2.0,0.0,1.7336828507088826,1.7336828507088826,2.0,0.0,1.7336828507088826,1.7336828507088826,2.0,0.0,1.7336828507088826,0.8668414253544413,1.0,0.0,0.8668414253544413,15.603145656379942,18.0,0.0,15.603145656379942,1.7336828507088826,2.0,0.0,-1.7336828507088826,1.7336828507088826,2.0,0.0,-1.7336828507088826,1.7336828507088826,2.0,0.0,-1.7336828507088826,0.8668414253544413,1.0,0.0,-0.8668414253544413,6.067889977481089,7.0,0.0,-6.067889977481089,0.0,0.0,0.0,0.0,12.6021375472304,4.036454059659315,0.7403910482693411,0.23125387655263901,9.10423879488761,23.41503873272242,1.6410090106873008,13.244540959493888
